CID,f_activity,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP,qvina,rfscore_qvina,plants,rfscore_plants
JAG-UCB-ef2c0e8e-8,0,0,4,3,1,80.47,119.36713124081557,1.02212,-7.0,6.614983365023872,-82.0832,6.63247633716284
ERI-BAS-37e2bb46-1,0,0,4,6,2,93.18,166.53790633404267,3.2757000000000014,-8.6,7.5771914835605525,-92.0678,7.438918750360752
ERI-BAS-bd3ef700-1,0,0,6,4,3,103.01000000000002,174.25880948208766,3.2242200000000016,-8.4,7.355127581363077,-93.5425,7.3671236060606065
ALP-POS-c59291d4-1,0,0,6,5,0,51.02,183.73623065958472,5.393200000000005,-7.7,7.2610717304639785,-92.0553,7.50257176676102
ALP-POS-c59291d4-2,1,0,7,6,1,80.12,177.48534708036235,4.074700000000003,-7.8,7.5907442281052315,-87.6591,7.613142833999333
ALP-POS-c59291d4-3,1,0,7,6,1,80.12,182.8444580412297,4.074700000000003,-7.6,7.40334472760573,-90.1721,7.508653964590968
ALP-POS-c59291d4-4,1,0,6,6,1,63.05,160.5939407515254,3.7679000000000022,-7.2,7.214320048090799,-76.8991,7.419735639915642
ALP-POS-c59291d4-6,1,0,5,4,1,75.44,189.20667208891004,5.274900000000005,-6.4,7.2990336497391475,-83.8586,7.333551820307147
ALP-POS-c0c213c9-9,0,0,8,7,0,78.07000000000002,202.58856429596176,4.4268000000000045,-7.4,7.198179756243763,-85.4538,7.572482766400269
ALP-POS-c0c213c9-14,0,0,6,5,0,63.91,169.03033938437642,3.653000000000002,-7.6,7.0369378827561375,-83.2011,7.362310557303809
MAT-POS-c79fcd02-1,0,0,8,7,1,87.5,178.89932161382774,3.5572000000000017,-8.3,7.626708045315791,-82.439,7.670936061938059
ALP-POS-91609ae9-1,0,0,4,2,1,52.23,128.08558292770442,2.8093200000000014,-6.8,5.878131207292707,-85.2934,6.390905189477191
ALP-POS-91609ae9-2,0,0,4,4,1,62.46,137.8566764741143,3.1249200000000017,-6.6,6.850103660062167,-85.8225,6.572483356476859
ALP-POS-91609ae9-3,1,0,3,3,1,65.12,137.22546477999762,3.0535000000000005,-7.2,6.925882855533353,-83.1104,7.290711098845608
EDJ-MED-6af13d92-1,1,0,6,4,2,80.41999999999999,150.31451725293513,2.6539200000000007,-7.0,6.8863475808080805,-74.9218,7.017017156343657
EDJ-MED-6af13d92-2,0,0,6,4,2,80.41999999999999,148.1151105414647,2.4846000000000004,-7.3,6.737682898601401,-79.4707,6.714932821178823
EDJ-MED-6af13d92-3,1,0,7,5,2,89.64999999999998,155.42806248244204,2.3541,-6.9,6.233597991563983,-74.7364,6.5149488023088
BEN-BAS-baaab58b-1,0,0,6,4,5,135.53,147.16083297581227,0.20060000000000014,-7.6,7.264164907037412,-91.0061,7.394758276778782
MAT-POS-ee51dedd-1,1,0,3,3,0,47.34,117.7221442299415,1.44128,-6.6,6.8939422539682536,-78.2598,6.945857029082032
MAT-POS-ee51dedd-2,1,0,3,4,0,57.69000000000001,115.00081948250616,0.8197999999999999,-6.1,7.0223371940836845,-66.3923,7.151083320457316
MAT-POS-ee51dedd-3,1,0,4,2,1,32.34,149.91560466895618,4.609200000000003,-7.5,6.991033459151963,-86.7926,6.967013147186142
LOR-NEU-c8f11034-5,0,0,2,2,0,37.38,118.52791799115387,3.178600000000001,-6.8,6.0854309038739025,-76.9149,5.9382286524586485
BEN-BAS-0534ec5c-1,0,0,5,5,3,104.7,182.8274994789071,3.658800000000001,-8.8,7.436958776612284,-89.3069,7.486291722888228
EDJ-MED-c9f55a56-1,0,0,3,3,2,70.67,99.27656001811128,1.6027399999999996,-6.2,5.4910301221001285,-69.4555,6.042434140637143
ALP-POS-90c18d1d-1,0,0,5,4,2,65.46000000000001,148.25224488859897,2.9166200000000013,-6.9,6.766729430735924,-84.6463,6.9779453639971205
NAU-LAT-445f63e5-5,0,0,5,4,1,62.3,130.5974964711878,2.6237000000000013,-6.6,6.9471383191808185,-72.0557,6.917337473248973
NAU-LAT-445f63e5-7,0,0,5,4,1,68.29,136.31615014488796,2.1518,-6.6,6.473231372405372,-77.2011,7.042157949494955
BAR-COM-0f94fc3d-3,0,0,6,3,2,67.42999999999999,158.6066577781861,3.517900000000002,-7.3,6.826834759740268,-87.5862,7.145147393939395
BAR-COM-0f94fc3d-18,0,0,3,3,1,46.92,120.78068777562021,3.1225200000000006,-6.6,6.818056995948497,-77.2808,6.80309057142857
BAR-COM-0f94fc3d-25,0,0,3,3,1,59.06,133.06813944993522,3.2828200000000014,-6.3,6.541201735486734,-67.0471,6.709135000332997
BAR-COM-0f94fc3d-28,0,0,3,4,1,60.45,132.76876569450857,2.995820000000001,-6.6,6.5834912874902844,-70.5452,6.445777417804412
BAR-COM-0f94fc3d-38,0,0,4,3,2,62.22,128.34174014122004,3.279720000000002,-6.1,6.7523699378399415,-73.0402,6.439051644799644
BAR-COM-0f94fc3d-41,0,0,3,3,1,46.92,126.91841859957563,3.636820000000002,-6.3,6.674342608114112,-77.4927,6.8245182992007996
BAR-COM-0f94fc3d-43,0,0,4,5,1,69.03999999999999,151.3812240155415,3.3345000000000016,-7.0,7.049328445998447,-83.6536,7.115718388111883
BAR-COM-0f94fc3d-45,0,0,4,4,1,75.00999999999998,133.28084259044078,3.0172800000000013,-6.1,6.7403090531135526,-66.7686,6.727335005550006
BAR-COM-0f94fc3d-48,0,0,3,4,1,71.53,137.57657623524887,2.40752,-6.9,6.871643996947499,-77.0142,7.114649565934063
BAR-COM-0f94fc3d-49,0,0,4,3,1,41.99,135.0914032627716,3.863500000000003,-6.6,6.439789686646693,-76.3081,6.031610885614394
BAR-COM-0f94fc3d-55,0,0,5,3,2,79.29,155.18492677299895,4.142420000000002,-7.6,6.833532881673883,-85.2391,7.077710572871579
BAR-COM-0f94fc3d-58,0,0,4,4,2,77.24,131.20028157990672,2.7996200000000013,-5.9,5.9280238737373745,-78.0615,5.467559434565435
ERI-UCB-5b47150d-2,0,0,3,3,0,42.43,89.87560478657713,1.38772,-4.4,5.523800057331556,-52.9929,5.2237630788100775
ERI-UCB-5b47150d-5,0,0,3,2,0,33.2,94.28670592086388,1.95842,-4.8,5.339857265123758,-62.403,5.427587996225991
ERI-UCB-5b47150d-6,0,0,3,2,1,41.99,87.71179231987195,1.93412,-5.4,5.626392469696967,-66.4458,5.218632790043286
MAT-POS-590ac91e-1,0,0,3,3,1,51.22,83.30069118558522,1.36342,-4.8,5.013452682539684,-59.9411,5.593926421522918
MAT-POS-590ac91e-2,0,0,3,3,1,51.22,83.30069118558522,1.36342,-4.7,4.841519117049613,-59.7685,5.612791516761013
MAT-POS-590ac91e-4,0,0,2,3,1,51.22,94.01891310731995,1.5075199999999995,-6.0,5.436409799422799,-64.5098,6.004205346153847
MAT-POS-590ac91e-5,0,0,4,2,1,41.99,96.27614114573893,2.7647200000000014,-5.1,5.837426200632697,-63.5078,5.869869071817068
MAT-POS-590ac91e-7,0,0,4,3,2,62.22,94.7054327835383,1.4895199999999995,-5.5,5.413945497113995,-67.4225,5.455476261183257
MAT-POS-590ac91e-9,0,0,4,3,1,51.22,95.0247442608492,1.89762,-4.9,5.684042723776217,-64.2372,6.003697278221776
MAT-POS-590ac91e-10,0,0,5,3,1,51.22,95.02474426084919,1.89762,-5.4,5.4098397835497805,-61.4707,5.447137392829392
MAT-POS-590ac91e-11,0,0,4,2,1,41.99,97.28197229926813,3.010720000000002,-5.1,5.387551457431458,-65.1105,6.187854268842269
MAT-POS-590ac91e-12,0,0,2,4,2,80.32000000000002,92.00624431570778,0.4369199999999999,-6.2,5.7980555518925545,-58.3726,5.730288740259747
MAT-POS-590ac91e-18,0,0,3,2,1,41.99,101.63525210660627,2.7647200000000014,-5.6,6.0985484521589495,-60.7072,6.529407108225107
MAT-POS-590ac91e-20,0,0,2,2,1,41.99,101.63525210660627,2.683040000000001,-5.5,6.1502974427794435,-54.7652,6.195822852813856
MAT-POS-590ac91e-21,0,0,2,2,1,41.99,101.63525210660629,2.9088200000000013,-5.9,5.503310452547455,-69.6787,6.187935234876237
MAT-POS-590ac91e-22,0,0,2,2,1,41.99,101.63525210660629,2.9088200000000013,-5.5,5.473139109446112,-70.4662,6.2171635784215775
MAT-POS-590ac91e-23,0,0,3,2,1,41.99,101.63525210660627,2.7647200000000014,-6.1,5.899075567099565,-70.3124,6.29778003946054
MAT-POS-590ac91e-24,0,0,3,2,1,41.99,101.63525210660629,2.9088200000000013,-5.9,5.862968421633923,-66.4227,6.085777155122652
MAT-POS-590ac91e-25,0,0,3,2,1,41.99,101.63525210660629,2.9088200000000013,-5.9,6.216852636585637,-68.6718,6.073751571373076
MAT-POS-590ac91e-29,0,0,2,3,1,51.22,100.38385522171656,1.89762,-5.7,5.526650475468972,-62.1478,6.070124306415804
MAT-POS-590ac91e-30,0,0,3,4,2,80.41999999999999,147.10927938793546,2.237,-8.4,6.6923649642579655,-81.2999,6.5778590865800926
MAT-POS-590ac91e-32,1,0,6,4,2,80.41999999999999,148.1151105414647,2.4846000000000004,-7.3,6.962450032106784,-79.1005,6.069525603896104
MAT-POS-590ac91e-33,0,0,3,4,1,71.63,153.6841929889274,2.5792,-8.3,6.3287063054168,-80.262,6.709470213980457
MAT-POS-590ac91e-34,0,0,3,4,1,71.63,153.68419298892738,2.5792,-8.5,6.95276626695527,-74.5842,7.201911121933618
MAT-POS-590ac91e-35,0,0,3,4,2,80.41999999999999,153.47422150233209,2.409300000000001,-7.7,6.7630187012987015,-70.0016,6.858591358003111
MAT-POS-590ac91e-37,0,0,6,4,1,71.63,154.69002414245662,2.8268000000000004,-6.9,6.871995452353205,-88.31700000000002,7.104232001082256
MAT-POS-590ac91e-38,1,0,6,4,2,80.41999999999999,154.48005265586133,2.8731000000000013,-7.5,6.9187053982128965,-78.7388,6.239926422799425
MAT-POS-590ac91e-39,0,0,6,4,2,80.41999999999999,154.48005265586133,2.8731000000000013,-7.0,6.946516838383839,-78.3677,6.611787848373848
MAT-POS-590ac91e-40,1,0,6,4,2,80.41999999999999,154.48005265586127,2.8731000000000013,-7.5,7.2808903950216415,-81.2937,6.695438106782111
MAT-POS-590ac91e-41,1,0,6,4,2,80.41999999999999,154.48005265586133,2.8731000000000013,-7.2,7.06016679148629,-80.5952,6.7350479627039626
MAT-POS-590ac91e-42,0,0,6,4,2,80.41999999999999,154.25284136542018,2.9989000000000012,-7.0,6.957272591436339,-79.1879,6.7384957852147815
MAT-POS-590ac91e-43,0,0,6,4,1,71.63,160.82775496641207,3.3411000000000017,-6.9,6.1508969552669575,-73.039,6.329786351148848
MAT-POS-590ac91e-45,0,0,5,4,1,71.63,168.61348392919095,3.5287200000000016,-7.5,6.7195126345876375,-71.8507,7.109110268786769
MAT-POS-590ac91e-46,1,0,5,4,2,80.42,166.2041057311253,3.1895000000000007,-8.0,7.2884073198190675,-86.4321,6.3429671796536775
MAT-POS-590ac91e-47,0,0,5,4,2,80.42,166.2041057311253,3.1895000000000007,-8.0,7.248882836219339,-88.6229,7.325736316017318
MAT-POS-590ac91e-48,0,0,5,4,1,71.63,166.41407721772057,3.3594000000000017,-7.6,6.911584974220222,-75.2387,6.756020261460764
MAT-POS-590ac91e-49,0,0,5,4,1,71.63,166.41407721772057,3.3594000000000017,-7.5,6.831763721694974,-77.1269,6.743000377899881
MAT-POS-590ac91e-50,0,0,5,4,1,71.63,166.41407721772057,3.3594000000000017,-7.7,7.1645427639860175,-83.083,7.2239138560606095
MAT-POS-590ac91e-51,0,0,4,4,1,71.63,166.18686592727948,3.483600000000002,-7.9,6.821839205266959,-89.0312,7.297306747474747
MAT-POS-590ac91e-53,0,0,5,4,2,80.42,172.34183655508076,3.703800000000002,-7.6,7.3219310130702615,-83.7945,6.767129953324455
MAT-POS-590ac91e-54,0,0,4,4,1,71.63,172.55180804167603,3.873700000000003,-7.7,6.788067789488287,-76.7622,6.786709625541122
MAT-POS-590ac91e-56,0,0,3,4,1,90.55,165.9777120925321,1.8139000000000003,-8.8,7.095541619103117,-73.1393,6.9239656193251164
MAT-POS-590ac91e-57,0,0,3,4,1,90.55,165.9777120925321,1.8139000000000003,-8.8,7.032745892551889,-71.5976,6.8570809714729695
MAT-POS-590ac91e-58,0,0,3,4,1,90.55,172.1154429164875,2.3282000000000007,-8.8,7.03994765373515,-76.72,6.955385369241864
MAT-POS-590ac91e-59,0,0,3,5,1,114.33999999999996,176.73523388839746,1.6855799999999999,-8.5,6.923013712290976,-81.2158,7.204266012059836
MAT-POS-590ac91e-60,0,0,3,5,1,114.33999999999996,176.7352338883974,1.6855800000000003,-8.9,6.984410013212278,-71.4891,7.148206339493843
MAT-POS-590ac91e-61,1,0,3,5,1,114.33999999999996,176.73523388839746,1.68558,-8.7,7.25808461310911,-80.7952,7.249243904761907
MAT-POS-590ac91e-62,0,0,3,5,1,114.33999999999996,176.73523388839746,1.68558,-8.8,6.968186250530512,-72.0097,6.993306897879894
MAT-POS-590ac91e-63,0,0,3,4,1,90.55,178.7075963213253,2.43074,-8.5,6.894332542127809,-79.0287,7.168511324081145
MAT-POS-590ac91e-64,0,0,3,4,1,90.55,178.70759632132538,2.43074,-8.6,6.84150125840826,-81.6083,7.098656031151854
MAT-POS-590ac91e-67,0,0,3,4,1,90.55,176.2809783194138,2.4673000000000007,-8.5,6.893527327897591,-82.184,6.9709421859806815
MAT-POS-590ac91e-68,0,0,3,4,1,90.55,176.2809783194138,2.4673000000000007,-9.0,7.327301793040289,-70.2774,6.988183801646072
MAT-POS-590ac91e-69,0,0,3,4,1,90.55,176.2809783194138,2.4673000000000007,-9.1,7.3295863933843854,-80.8889,7.017541640193138
MAT-POS-590ac91e-70,0,0,3,4,1,90.55,176.28097831941375,2.4673000000000007,-9.0,7.18107775480075,-77.4357,7.041079419746917
JAG-UCB-a3ef7265-3,1,0,3,4,2,71.45,126.08451210280107,2.3420000000000005,-6.9,6.44941495748696,-78.7954,6.526049004384501
JAG-UCB-a3ef7265-8,0,0,4,4,1,56.15,132.3519033214269,3.2251200000000013,-5.8,5.668640011932513,-63.9154,6.2115926580641565
JAG-UCB-a3ef7265-11,0,0,3,7,1,85.59,114.5979242170104,1.1452999999999998,-6.3,5.28075315673216,-69.0434,6.0225916623376605
JAG-UCB-a3ef7265-12,0,0,3,3,1,46.92,106.66337206975194,2.4470600000000005,-6.0,6.815281607392608,-75.9126,6.32202723426574
JAG-UCB-a3ef7265-15,0,0,3,4,1,59.81,109.7897977315883,1.95812,-6.5,6.107153985347988,-72.4038,6.250045396436902
JAG-UCB-a3ef7265-16,0,0,3,3,0,38.13,119.57168135354523,2.5508599999999997,-5.4,6.4938337398157415,-64.3975,6.7536101978577046
JAG-UCB-a3ef7265-20,1,0,3,5,1,69.04,131.98650699722654,2.771200000000001,-6.9,7.220051090187589,-74.0359,7.043698302031294
JAG-UCB-a3ef7265-22,0,0,3,3,1,46.92,116.96663829663365,3.1004600000000018,-5.8,5.788558464590968,-75.486,6.332530970751475
JAG-UCB-a3ef7265-23,0,0,4,3,1,54.88,124.96049435186757,3.2390000000000017,-6.5,6.660064072372067,-79.8602,6.819213778721278
JAG-UCB-cedd89ab-4,0,0,4,5,0,72.12,128.08729933100486,2.2482000000000006,-7.6,6.925985593795091,-72.3586,6.8759416919191905
RAL-MED-2de63afb-2,1,0,5,5,2,93.21,132.6479286171149,1.1910199999999995,-7.6,7.336039519203007,-83.8042,7.348221467587964
RAL-MED-2de63afb-3,0,0,4,4,2,83.98,127.53438338760805,1.2613,-7.9,7.1893686562881545,-79.4321,7.274052334054838
RAL-MED-2de63afb-5,0,0,5,5,2,93.21,126.28298650271832,0.6314000000000001,-7.5,7.301508109723603,-84.1967,6.656438867410366
RAL-MED-2de63afb-9,0,0,4,3,2,67.42999999999999,98.46193541697365,1.0358999999999998,-6.5,5.573789722222225,-69.4468,5.952469834054838
RAL-MED-2de63afb-10,0,0,4,3,2,67.42999999999999,104.82687753137026,1.426,-6.4,6.135514019480518,-72.4627,6.361347918470418
RAL-MED-2de63afb-12,0,0,5,4,2,83.98,122.17527242674066,1.2939,-6.4,6.832073805638803,-77.7223,6.7391922942612945
RAL-MED-2de63afb-14,1,0,5,5,2,93.21,130.44852190564458,1.0217,-7.6,7.3095248504273425,-84.2608,6.5034818099678064
EDJ-MED-49816e9b-1,1,0,3,2,1,41.99,110.81762216023078,3.2246200000000016,-6.1,6.228421194416697,-74.2951,6.455179276168277
EDJ-MED-49816e9b-2,0,0,3,2,1,41.99,117.18256427462742,3.533040000000001,-6.1,5.300738738816742,-71.2747,6.491016202020206
EDJ-MED-49816e9b-3,0,0,3,3,1,46.92,110.57014975064179,2.5631200000000005,-6.0,6.407802214618719,-63.3382,5.837799523088025
BEN-DND-7e92b6ca-1,0,0,6,4,2,80.42,121.26791060680328,1.1923,-6.7,6.583743757520253,-70.0846,6.051597086580088
BEN-DND-7e92b6ca-2,0,0,6,4,1,71.63,150.5244887395304,2.6877000000000004,-6.8,6.863222968226218,-82.3768,7.070959551587302
BEN-DND-7e92b6ca-3,0,0,5,3,2,65.2,139.48231834972808,2.3943000000000003,-7.6,6.976401264180264,-74.5383,6.9326141013986025
BEN-DND-7e92b6ca-4,1,0,5,3,3,73.99000000000002,132.90740474873618,2.37,-7.6,7.009868589022084,-80.5622,6.906273788933286
BEN-DND-7e92b6ca-5,1,0,5,3,2,71.19,132.47108779463505,2.3369,-7.4,6.513314321067817,-75.1586,6.5300040877455885
BEN-DND-7e92b6ca-7,0,0,3,4,1,90.55,161.81217668960585,1.6748000000000005,-9.0,6.937861384004879,-73.1597,7.077491602619598
BEN-DND-7e92b6ca-8,0,0,3,4,1,90.55,164.59028061545715,1.75528,-7.2,6.7207023883338834,-71.9326,6.424802620768122
BEN-DND-7e92b6ca-10,1,0,3,3,1,56.41,151.41634291158744,2.4861000000000004,-8.3,6.9609796227661205,-82.50299999999999,7.1581776471861485
BEN-DND-7e92b6ca-11,1,0,3,4,1,65.64,156.5298881410943,2.4991000000000003,-7.5,6.697772853757352,-76.7307,6.591378422743926
BEN-DND-7e92b6ca-12,1,0,3,4,1,65.64,156.5298881410943,2.4991000000000003,-7.8,6.739487002691754,-77.6497,6.815219896714398
