clf,mean_test_score,std_test_score,clf__max_depth,clf__n_estimators,clf__n_neighbors,clf__eta
RandomForestClassifier,0.7010310080442433,0.0833144487516873,,500.0,,
RandomForestClassifier,0.7016666038210156,0.08423277363777491,,1000.0,,
KNeighborsClassifier,0.7038125062845652,0.07081732451845753,,,3.0,
KNeighborsClassifier,0.7111679989944696,0.07843009716947619,,,5.0,
KNeighborsClassifier,0.7040598793363501,0.080922773367252,,,7.0,
KNeighborsClassifier,0.6656623177476118,0.08578060231840506,,,25.0,
XGBClassifier,0.6753324409250879,0.10320945623497307,3.0,40.0,,0.1
XGBClassifier,0.6894940548014078,0.10245957711507278,3.0,100.0,,0.1
XGBClassifier,0.6945163901458019,0.09953077604987548,3.0,200.0,,0.1
XGBClassifier,0.6867245726495728,0.09691099165919241,3.0,500.0,,0.1
XGBClassifier,0.6822221342383108,0.09414110562012312,3.0,1000.0,,0.1
XGBClassifier,0.6857744972347913,0.09960394679288609,3.0,40.0,,0.2
XGBClassifier,0.6923126445449975,0.09953096073693919,3.0,100.0,,0.2
XGBClassifier,0.688525992961287,0.09650017091998765,3.0,200.0,,0.2
XGBClassifier,0.6831311840120665,0.09512283657987872,3.0,500.0,,0.2
XGBClassifier,0.6803532554047258,0.09289274987249663,3.0,1000.0,,0.2
XGBClassifier,0.6909103443941679,0.1028683924906894,3.0,40.0,,0.3
XGBClassifier,0.6904679989944695,0.10049112306098552,3.0,100.0,,0.3
XGBClassifier,0.6870030920060334,0.09648405525217266,3.0,200.0,,0.3
XGBClassifier,0.6826399949723481,0.09220309833856881,3.0,500.0,,0.3
XGBClassifier,0.6793304424333837,0.0930471310087697,3.0,1000.0,,0.3
XGBClassifier,0.6836048516842632,0.09827366285554764,4.0,40.0,,0.1
XGBClassifier,0.6875125439919558,0.09726259192823623,4.0,100.0,,0.1
XGBClassifier,0.6830937028657617,0.09580285793277457,4.0,200.0,,0.1
XGBClassifier,0.6798421442936149,0.09588665934791483,4.0,500.0,,0.1
XGBClassifier,0.6774741452991454,0.09604931152770547,4.0,1000.0,,0.1
XGBClassifier,0.6858299899446958,0.0967420987529248,5.0,40.0,,0.1
XGBClassifier,0.6852612368024136,0.09531288637888367,5.0,100.0,,0.1
XGBClassifier,0.6807605957767724,0.09390956450861587,5.0,200.0,,0.1
XGBClassifier,0.6774998617395677,0.09390134714340452,5.0,500.0,,0.1
XGBClassifier,0.6774978004022123,0.0960141715699409,5.0,1000.0,,0.1
XGBClassifier,0.6875302538964304,0.09856705761183693,6.0,40.0,,0.1
XGBClassifier,0.6830133861236802,0.09588706331535064,6.0,100.0,,0.1
XGBClassifier,0.6807214680744093,0.09606284581718352,6.0,200.0,,0.1
XGBClassifier,0.6789988562091501,0.09528845055440824,6.0,500.0,,0.1
XGBClassifier,0.6775213926596281,0.09630941588582101,6.0,1000.0,,0.1
XGBClassifier,0.686847209653092,0.09880325862275273,7.0,40.0,,0.1
XGBClassifier,0.6830803921568628,0.09716834404815876,7.0,100.0,,0.1
XGBClassifier,0.6807313097033686,0.09592169919132934,7.0,200.0,,0.1
XGBClassifier,0.6807217571644043,0.09702273335351183,7.0,500.0,,0.1
XGBClassifier,0.6787778406234288,0.09774949189903827,7.0,1000.0,,0.1
XGBClassifier,0.6841294494720964,0.0997497015171614,8.0,40.0,,0.1
XGBClassifier,0.6819838738059327,0.0964199938042499,8.0,100.0,,0.1
XGBClassifier,0.6822220462543993,0.09517389399105487,8.0,200.0,,0.1
XGBClassifier,0.6797428230266466,0.0965683739553391,8.0,500.0,,0.1
XGBClassifier,0.6770027023629965,0.0971949972403441,8.0,1000.0,,0.1
XGBClassifier,0.680791226747109,0.0970772090616282,10.0,40.0,,0.1
XGBClassifier,0.6809003896430368,0.09658254170878902,10.0,100.0,,0.1
XGBClassifier,0.6789136375062845,0.09578618497613076,10.0,200.0,,0.1
XGBClassifier,0.6773119658119661,0.09679291946756494,10.0,500.0,,0.1
XGBClassifier,0.6763168426344898,0.09752936404162092,10.0,1000.0,,0.1
XGBClassifier,0.6875302538964304,0.09856705761183693,,40.0,,0.1
XGBClassifier,0.6830133861236802,0.09588706331535064,,100.0,,0.1
XGBClassifier,0.6807214680744093,0.09606284581718352,,200.0,,0.1
XGBClassifier,0.6789988562091501,0.09528845055440824,,500.0,,0.1
XGBClassifier,0.6775213926596281,0.09630941588582101,,1000.0,,0.1
XGBClassifier,0.6846968451483157,0.09804750595672128,4.0,40.0,,0.2
XGBClassifier,0.6852506158873807,0.09435955367935993,4.0,100.0,,0.2
XGBClassifier,0.6799088612368024,0.09580916499779964,4.0,200.0,,0.2
XGBClassifier,0.6768283308195072,0.0958053801600838,4.0,500.0,,0.2
XGBClassifier,0.6788328054298642,0.097014815218197,4.0,1000.0,,0.2
XGBClassifier,0.6853575037707391,0.0991513302966376,5.0,40.0,,0.2
XGBClassifier,0.6812083584715937,0.09636562485164768,5.0,100.0,,0.2
