CID,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
JAN-GHE-83b26c96-25,0,2,4,0,51.81,114.61842938558901,3.7604200000000017
JAN-GHE-d851b096-6,0,2,3,0,34.89,88.02917110288631,1.6000199999999998
MAT-POS-4e253971-1,0,3,3,0,30.270000000000003,129.8773445472363,3.134380000000002
MAT-POS-4e253971-2,0,3,2,0,23.550000000000004,135.32162604802372,3.3234000000000017
MAT-POS-4e253971-3,0,2,4,2,77.24,98.5624982057749,1.1553200000000001
AAR-POS-5507155c-1,0,2,4,1,49.41,96.1853767735488,0.4996999999999999
LON-WEI-d1c9908a-3,0,7,4,1,71.53,200.8362850221558,5.595120000000005
LON-WEI-d1c9908a-4,0,8,4,1,71.53,199.8304538686266,5.3491200000000045
LON-WEI-d1c9908a-5,0,8,4,1,71.53,193.46551175423,5.040700000000004
LON-WEI-d1c9908a-6,0,8,3,1,62.3,194.71690863911968,5.5945000000000045
LON-WEI-d1c9908a-7,0,7,4,1,71.53,194.47134290775918,5.286700000000004
LON-WEI-d1c9908a-8,0,8,3,1,62.3,201.08185075351628,5.902920000000004
LON-WEI-d1c9908a-11,0,7,3,1,62.3,195.85457201596782,5.794600000000004
LON-WEI-d1c9908a-13,0,7,3,1,62.3,192.5175019276493,5.479620000000006
AAR-POS-8a4e0f60-1,0,6,5,0,63.91,162.988305392849,3.5420000000000025
AAR-POS-8a4e0f60-4,0,9,6,2,98.14,162.42134757559162,1.4004
AAR-POS-8a4e0f60-6,0,8,7,1,87.5,178.89932161382774,3.5572000000000017
AAR-POS-8a4e0f60-7,0,5,6,0,73.14,174.233514716738,4.3004000000000016
AAR-POS-8a4e0f60-8,0,7,6,0,60.25,166.52256591182086,3.7304000000000017
LON-WEI-adc59df6-1,0,7,5,1,88.60000000000002,194.39465022019272,3.707200000000003
LON-WEI-adc59df6-2,0,9,5,1,88.60000000000002,189.03553925932536,3.7088000000000023
LON-WEI-adc59df6-3,0,5,3,1,62.3,154.30070347218825,3.385400000000001
