id,pose,rfscore
AAR-POS-8a4e0f60-9,10,7.00639368426018
AAR-POS-90191df4-1,1,6.756356736652235
AAR-POS-90191df4-1,2,6.654740128926621
AAR-POS-90191df4-1,3,6.48898886219336
AAR-POS-90191df4-1,4,6.62550034271284
AAR-POS-90191df4-1,5,6.476943779942273
AAR-POS-90191df4-1,6,6.6197060293595245
AAR-POS-90191df4-1,7,6.486038684704182
AAR-POS-90191df4-1,8,6.567795360750358
AAR-POS-90191df4-1,9,6.6117297393162335
AAR-POS-90191df4-1,10,6.501469157065153
AAR-POS-ac4b8cb8-1,1,6.490556841269842
AAR-POS-ac4b8cb8-1,2,6.201774690476189
AAR-POS-ac4b8cb8-1,3,6.360206201298702
AAR-POS-ac4b8cb8-1,4,5.998362360750363
AAR-POS-ac4b8cb8-1,5,6.423749704628702
AAR-POS-ac4b8cb8-1,6,6.540381599345102
AAR-POS-ac4b8cb8-1,7,6.198913172438669
AAR-POS-ac4b8cb8-1,8,6.3613511103896085
AAR-POS-ac4b8cb8-1,9,6.515464694527693
AAR-POS-ac4b8cb8-1,10,5.858987748917746
AAR-POS-dddeddbf-1,1,6.784009771728273
AAR-POS-dddeddbf-1,2,7.036890136863135
AAR-POS-dddeddbf-1,3,6.55358412121212
AAR-POS-dddeddbf-1,4,6.856191173160178
AAR-POS-dddeddbf-1,5,6.623137343434343
AAR-POS-dddeddbf-1,6,6.774976321067822
AAR-POS-dddeddbf-1,7,7.041315880397378
AAR-POS-dddeddbf-1,8,6.239213932844932
AAR-POS-dddeddbf-1,9,6.6974321267653885
AAR-POS-dddeddbf-1,10,7.101857047619048
AAR-POS-dddeddbf-2,1,6.532855736596733
AAR-POS-dddeddbf-2,2,6.527300303807302
AAR-POS-dddeddbf-2,3,6.520216075702067
AAR-POS-dddeddbf-2,4,6.484789908868911
AAR-POS-dddeddbf-2,5,6.096436852869352
AAR-POS-dddeddbf-2,6,6.663938991841488
AAR-POS-dddeddbf-2,7,6.712472746531247
AAR-POS-dddeddbf-2,8,6.215687974858471
AAR-POS-dddeddbf-2,9,6.593195129703632
AAR-POS-dddeddbf-2,10,6.454280832389835
AAR-POS-dddeddbf-3,1,5.628662506604504
AAR-POS-dddeddbf-3,2,5.977544133781249
AAR-POS-dddeddbf-3,3,5.978891655899659
AAR-POS-dddeddbf-3,4,5.678354363747358
AAR-POS-dddeddbf-3,5,5.823445393994898
AAR-POS-dddeddbf-3,6,6.089531564990567
AAR-POS-dddeddbf-3,7,5.893628935120433
AAR-POS-dddeddbf-3,8,5.557072828227332
AAR-POS-dddeddbf-3,9,5.5446619986679995
AAR-POS-dddeddbf-3,10,5.982410520257522
AAR-POS-dddeddbf-4,1,6.221941207070709
AAR-POS-dddeddbf-4,2,6.197623087745591
AAR-POS-dddeddbf-4,3,6.0982335044400084
AAR-POS-dddeddbf-4,4,6.031470195637702
AAR-POS-dddeddbf-4,5,6.278950998557003
AAR-POS-dddeddbf-4,6,6.094254116106115
AAR-POS-dddeddbf-4,7,6.254617412920416
AAR-POS-dddeddbf-4,8,6.23920528998779
AAR-POS-dddeddbf-4,9,5.680501579420577
AAR-POS-dddeddbf-4,10,5.997285596736601
AAR-POS-dddeddbf-5,1,7.377655486679987
AAR-POS-dddeddbf-5,2,7.371632879176387
AAR-POS-dddeddbf-5,3,7.173525173881678
AAR-POS-dddeddbf-5,4,7.00021544855145
AAR-POS-dddeddbf-5,5,6.9634761255411295
AAR-POS-dddeddbf-5,6,7.250269668276171
AAR-POS-dddeddbf-5,7,7.1453548542568575
AAR-POS-dddeddbf-5,8,7.120203722408307
AAR-POS-dddeddbf-5,9,7.10614225946276
AAR-POS-dddeddbf-5,10,6.954820148018652
ADA-UCB-6c2cb422-1,1,6.006206573426577
ADA-UCB-6c2cb422-1,2,6.555955982017982
ADA-UCB-6c2cb422-1,3,6.6145834142524125
ADA-UCB-6c2cb422-1,4,6.3029192900432935
ADA-UCB-6c2cb422-1,5,6.496447136363632
ADA-UCB-6c2cb422-1,6,6.266144659229661
ADA-UCB-6c2cb422-1,7,6.003714059829063
ADA-UCB-6c2cb422-1,8,6.410665797258295
ADA-UCB-6c2cb422-1,9,6.277236324453332
ADA-UCB-6c2cb422-1,10,6.580288595959599
ADA-UCB-6c2cb422-3,1,6.7438358583083575
ADA-UCB-6c2cb422-3,2,6.6281846340326345
ADA-UCB-6c2cb422-3,3,6.832079291375291
ADA-UCB-6c2cb422-3,4,6.557547453379955
ADA-UCB-6c2cb422-3,5,6.483999135420142
ADA-UCB-6c2cb422-3,6,6.82761580896881
ADA-UCB-6c2cb422-3,7,6.421586100122102
ADA-UCB-6c2cb422-3,8,6.849680718614719
ADA-UCB-6c2cb422-3,9,6.69276373248973
ADA-UCB-6c2cb422-3,10,6.622111596403598
ADA-UNI-f8e79267-2,1,6.925085308136309
ADA-UNI-f8e79267-2,2,6.983036586025086
ADA-UNI-f8e79267-2,3,6.970906238039732
ADA-UNI-f8e79267-2,4,6.9154205577200605
ADA-UNI-f8e79267-2,5,7.045513720057719
ADA-UNI-f8e79267-2,6,6.67918388922189
ADA-UNI-f8e79267-2,7,7.00490364452541
ADA-UNI-f8e79267-2,8,6.896923608061871
ADA-UNI-f8e79267-2,9,6.937475795815296
ADA-UNI-f8e79267-2,10,6.94763681890332
ADA-UNI-f8e79267-5,1,6.818861379620387
ADA-UNI-f8e79267-5,2,6.929596833943838
ADA-UNI-f8e79267-5,3,6.6006832317682305
ADA-UNI-f8e79267-5,4,6.546481792485298
ADA-UNI-f8e79267-5,5,6.670389642746151
ADA-UNI-f8e79267-5,6,6.830342574092577
ADA-UNI-f8e79267-5,7,5.897153502608505
ADA-UNI-f8e79267-5,8,6.759742647796655
ADA-UNI-f8e79267-5,9,6.820272990953495
ADA-UNI-f8e79267-5,10,6.736623282939284
AGN-NEW-891393a6-1,1,5.850186069264067
AGN-NEW-891393a6-1,2,5.808624034632032
AGN-NEW-891393a6-1,3,6.348550804251302
AGN-NEW-891393a6-1,4,5.674245232323232
AGN-NEW-891393a6-1,5,6.279456516317017
AGN-NEW-891393a6-1,6,5.630281581529582
AGN-NEW-891393a6-1,7,6.20916298562549
AGN-NEW-891393a6-1,8,5.515342020202022
AGN-NEW-891393a6-1,9,6.258061504773004
AGN-NEW-891393a6-1,10,5.611707727272719
AGN-NEW-c7b24fe3-3,1,6.74255466455767
AGN-NEW-c7b24fe3-3,2,6.517348757131761
AGN-NEW-c7b24fe3-3,3,6.673108472083473
AGN-NEW-c7b24fe3-3,4,6.665218477189482
AGN-NEW-c7b24fe3-3,5,6.700130376512375
AGN-NEW-c7b24fe3-3,6,6.786326895271398
AGN-NEW-c7b24fe3-3,7,6.108106018925521
AGN-NEW-c7b24fe3-3,8,6.234763734765237
AGN-NEW-c7b24fe3-3,9,6.567593185037187
AGN-NEW-c7b24fe3-3,10,6.651420394272397
AGN-NEW-c7b24fe3-4,1,6.135274296259296
AGN-NEW-c7b24fe3-4,2,6.86183337001888
AGN-NEW-c7b24fe3-4,3,6.682246457264961
AGN-NEW-c7b24fe3-4,4,6.688838636419139
AGN-NEW-c7b24fe3-4,5,6.254471915639922
AGN-NEW-c7b24fe3-4,6,6.816020216783215
AGN-NEW-c7b24fe3-4,7,6.646550386002891
AGN-NEW-c7b24fe3-4,8,6.365030277389277
AGN-NEW-c7b24fe3-4,9,5.9068256510711565
AGN-NEW-c7b24fe3-4,10,5.8880289495504465
AGN-NEW-c7b24fe3-5,1,6.1279942176712145
AGN-NEW-c7b24fe3-5,2,6.382558653846156
AGN-NEW-c7b24fe3-5,3,6.38588074708625
AGN-NEW-c7b24fe3-5,4,6.529740124098122
AGN-NEW-c7b24fe3-5,5,6.251258544622037
