id,pose,plants
MAT-POS-590ac91e-61,10,-69.616
MAR-UNI-c84db004-19,1,-77.7668
MAR-UNI-c84db004-19,2,-74.6176
MAR-UNI-c84db004-19,3,-74.1443
MAR-UNI-c84db004-19,4,-74.0929
MAR-UNI-c84db004-19,5,-71.628
MAR-UNI-c84db004-19,6,-71.5488
MAR-UNI-c84db004-19,7,-71.4179
MAR-UNI-c84db004-19,8,-69.866
MAR-UNI-c84db004-19,9,-68.7957
MAR-UNI-c84db004-19,10,-68.1615
RAL-MED-2de63afb-11,1,-66.5706
RAL-MED-2de63afb-11,2,-65.2216
RAL-MED-2de63afb-11,3,-64.7263
RAL-MED-2de63afb-11,4,-64.3074
RAL-MED-2de63afb-11,5,-64.1139
RAL-MED-2de63afb-11,6,-63.9767
RAL-MED-2de63afb-11,7,-63.5184
RAL-MED-2de63afb-11,8,-62.9663
RAL-MED-2de63afb-11,9,-61.3115
RAL-MED-2de63afb-11,10,-60.4438
BAR-COM-4e090d3a-35,1,-80.5288
BAR-COM-4e090d3a-35,2,-78.3046
BAR-COM-4e090d3a-35,3,-77.1596
BAR-COM-4e090d3a-35,4,-76.3272
BAR-COM-4e090d3a-35,5,-75.9042
BAR-COM-4e090d3a-35,6,-74.0954
BAR-COM-4e090d3a-35,7,-73.7465
BAR-COM-4e090d3a-35,8,-73.6238
BAR-COM-4e090d3a-35,9,-73.569
BAR-COM-4e090d3a-35,10,-72.9013
LON-WEI-b8d98729-13,1,-82.2431
LON-WEI-b8d98729-13,2,-72.5928
LON-WEI-b8d98729-13,3,-71.5075
LON-WEI-b8d98729-13,4,-71.2301
LON-WEI-b8d98729-13,5,-70.0534
LON-WEI-b8d98729-13,6,-69.7657
LON-WEI-b8d98729-13,7,-68.3067
LON-WEI-b8d98729-13,8,-67.8215
LON-WEI-b8d98729-13,9,-67.6973
LON-WEI-b8d98729-13,10,-66.2703
BAR-COM-4e090d3a-10,1,-82.1418
BAR-COM-4e090d3a-10,2,-82.046
BAR-COM-4e090d3a-10,3,-80.9874
BAR-COM-4e090d3a-10,4,-80.5831
BAR-COM-4e090d3a-10,5,-80.3155
BAR-COM-4e090d3a-10,6,-79.2053
BAR-COM-4e090d3a-10,7,-78.2074
BAR-COM-4e090d3a-10,8,-76.6902
BAR-COM-4e090d3a-10,9,-75.567
BAR-COM-4e090d3a-10,10,-74.9589
WAR-XCH-b6889685-27,1,-80.954
WAR-XCH-b6889685-27,2,-72.4038
WAR-XCH-b6889685-27,3,-69.8632
WAR-XCH-b6889685-27,4,-68.4089
WAR-XCH-b6889685-27,5,-68.1856
WAR-XCH-b6889685-27,6,-67.389
WAR-XCH-b6889685-27,7,-65.0904
WAR-XCH-b6889685-27,8,-64.4216
WAR-XCH-b6889685-27,9,-64.3928
WAR-XCH-b6889685-27,10,-64.271
JAN-GHE-83b26c96-8,1,-81.9199
JAN-GHE-83b26c96-8,2,-78.8851
JAN-GHE-83b26c96-8,3,-77.8202
JAN-GHE-83b26c96-8,4,-75.4716
JAN-GHE-83b26c96-8,5,-74.229
JAN-GHE-83b26c96-8,6,-70.2063
JAN-GHE-83b26c96-8,7,-70.1041
JAN-GHE-83b26c96-8,8,-69.9195
JAN-GHE-83b26c96-8,9,-69.6432
JAN-GHE-83b26c96-8,10,-69.1245
JON-UIO-066ce08b-7,1,-90.3338
JON-UIO-066ce08b-7,2,-85.3596
JON-UIO-066ce08b-7,3,-82.8177
JON-UIO-066ce08b-7,4,-79.5797
JON-UIO-066ce08b-7,5,-77.4767
JON-UIO-066ce08b-7,6,-77.278
JON-UIO-066ce08b-7,7,-76.6542
JON-UIO-066ce08b-7,8,-76.6144
JON-UIO-066ce08b-7,9,-76.325
JON-UIO-066ce08b-7,10,-75.9962
AGN-NEW-c7b24fe3-3,1,-79.5302
AGN-NEW-c7b24fe3-3,2,-75.2085
AGN-NEW-c7b24fe3-3,3,-73.6232
AGN-NEW-c7b24fe3-3,4,-72.2383
AGN-NEW-c7b24fe3-3,5,-70.4703
AGN-NEW-c7b24fe3-3,6,-69.935
AGN-NEW-c7b24fe3-3,7,-68.3766
AGN-NEW-c7b24fe3-3,8,-68.3013
AGN-NEW-c7b24fe3-3,9,-68.1073
AGN-NEW-c7b24fe3-3,10,-67.8996
NIR-THE-c331be7a-6,1,-77.4733
NIR-THE-c331be7a-6,2,-74.4505
NIR-THE-c331be7a-6,3,-73.5069
NIR-THE-c331be7a-6,4,-71.2497
NIR-THE-c331be7a-6,5,-69.3716
NIR-THE-c331be7a-6,6,-68.6351
